Title,Description,URL,Published Date,Author,"Event date is between May 1, 2025, and August 31, 2025",Event location is in the USA,Event type is a hackathon,event city,event category,"Reasoning for Event date is between May 1, 2025, and August 31, 2025",Reasoning for Event location is in the USA,Reasoning for Event type is a hackathon
"NERSC GPU Hackathon, July 2025","Open Hackathon from July 16-18 with Nvidia mentorship; includes application optimization sessions and a pre-event on July 9.","https://www.nersc.gov/users/training/events/2025/nersc-gpu-hackathon-july2025","2025-07-16T00:00:00.000Z","",Yes,Yes,Yes,"Berkeley, California","Hackathon - A collaborative coding event where teams work on GPU programming challenges, featuring mentorship, team presentations, and innovation.","The NERSC GPU Hackathon is scheduled to take place from July 16 to July 18, 2025, with an opening day on July 9, 2025.

All of these dates fall within the specified range of May 1, 2025, to August 31, 2025.

Therefore, the event satisfies the criterion that requires at least one date within this range.","The NERSC GPU Hackathon is organized by the National Energy Research Scientific Computing Center (NERSC), which is headquartered in Berkeley, California, USA.

The event is explicitly stated to be hosted at NERSC, confirming its location in the United States.

Therefore, the criterion that the event location is in the USA is satisfied.","The NERSC GPU Hackathon is explicitly titled as a hackathon and includes activities typical of such events, such as team collaboration with mentors, coding sessions, and presentations.

The description confirms that teams will work on optimizing applications, which aligns with the characteristics of hackathons.

Therefore, the event satisfies the criterion of being a hackathon."
"Techtonica Hackathon Series - Aug. 5, 2025","Join the Techtonica Hackathon Series on August 5, 2025, in St. Louis, MO; collaborate on coding projects focused on social impact and tech jobs for good.","https://techjobsforgood.com/events/techtonica-hackathon-series","","",Yes,Yes,Yes,"St. Louis, MO","Empowerment, Technology, Community Engagement","The Techtonica Hackathon Series is scheduled for August 5, 2025, which falls within the specified date range of May 1, 2025, to August 31, 2025.

Therefore, the event satisfies the criterion.","The Techtonica Hackathon Series is organized by Techtonica, which is headquartered in St. Louis, MO, USA.

The event context indicates a focus on local participants, and there are no indications that the event is held outside the United States.

The information from the crawled events page and additional searches confirm that the event location is indeed in the USA.","The Techtonica Hackathon Series is explicitly labeled as a hackathon, featuring collaboration among participants, a structured format with ideation and development sprints, and competitive elements such as community recognition.

The event's focus on coding and innovation, along with the mention of teamwork and open-source contributions, confirms that it is indeed a hackathon."
"NWB Workshops and Hackathons - Neurodata Without Borders","NWB Docathon on May 1-2, 2025; NWB Community Hackathon on August 4-6, 2025, held in various USA locations including Baltimore and Austin.","https://neurodatawithoutborders.github.io/nwb_hackathons","","",Yes,Yes,Yes,"New York, NY","Hackathon","The events listed on the NWB Workshops and Hackathons page include two specific events that fall within the specified date range.

The NWB Docathon is scheduled for May 1-2, 2025, and the NWB Community Hackathon is scheduled for August 4-6, 2025.

Both events are clearly within the criterion of May 1, 2025, to August 31, 2025.

There are no other events mentioned that fall outside this date range.

Therefore, the Events satisfy the criterion.","The NWB hackathons and workshops are explicitly stated to take place in various locations across the USA, including Baltimore, MD; Ashburn, VA; Austin, TX; Houston, TX; Berkeley, CA; and Princeton, NJ, among others.

This confirms that the events satisfy the criterion of being held in the USA.","The NWB Workshops and Hackathons page clearly describes the events as hackathons, specifically stating that participants engage in collaborative activities to create solutions using the NWB software packages.

The events are characterized as hands-on activities lasting several days, emphasizing collaboration and coding, which are key elements of hackathons.

The description also distinguishes these events from traditional conferences and workshops, focusing on the creation and development of software rather than merely reporting results.

This aligns with the typical format of hackathons where teams work on projects within a limited timeframe.

Additionally, the various types of hackathons listed, such as NeurodataReHack and Docathon, further support the classification of these events as hackathons, as they involve project work and community engagement."
"AI Hackathon - One-U Responsible AI Initiative","June 4-5, 2025; 48-hour event in Salt Lake City, UT with team-based AI projects and awards announced June 6.","https://rai.utah.edu/hackathon","","",Yes,Yes,Yes,"Salt Lake City","AI Hackathon - A collaborative event focused on developing AI solutions for real-world challenges, particularly in air quality.

Participants work in teams, receive mentorship, and compete for awards.","The AI Hackathon event is scheduled for June 4–5, 2025, which falls within the specified date range of May 1, 2025, to August 31, 2025.

Therefore, the event satisfies the criterion.","The AI Hackathon is hosted by the One-U Responsible AI Initiative and takes place in Salt Lake City, Utah, USA, as explicitly mentioned in the content retrieved from the event's webpage.

The event is described as a hybrid event, allowing participants to join either online or at the Warnock Engineering Building in Salt Lake City.

Therefore, the criterion that the event location is in the USA is clearly satisfied.","The event titled ""AI Hackathon - One-U Responsible AI Initiative"" clearly satisfies the criterion of being a hackathon.

The event description indicates a 48-hour duration, which is typical for hackathons, and specifies that participants will work in teams of 3-5 members to create AI-powered solutions for real-world problems related to air quality.

Additionally, the event structure includes team pre-planning sessions and support from subject matter experts, further emphasizing the collaborative and innovative nature of the event.

The mention of awards being announced after the event also adds a competitive element, which is characteristic of hackathons.

Therefore, the evidence strongly supports that this event is a hackathon."
"dsmHack Charity Hackathon 2025","48-hour hackathon in Des Moines, IA, starting May 1, 2025, focused on creating digital solutions for local nonprofits.","https://www.eventbrite.com/d/ia--des-moines/african-american-events","","",Yes,Yes,Yes,"Des Moines, Iowa","Sports Camp","The events listed on the Eventbrite page include the 'Des Moines Charity Hackathon 2025' scheduled for May 1, 2025, which is the exact start date of the specified range.

Additionally, other events such as 'Supporting Trans & Nonbinary Clients with Sociopolitical Distress' on May 16, 2025, and '2025 AWS District 16 Dave Landon Memorial Golf Outing' on May 23, 2025, also fall within the range of May 1, 2025, to August 31, 2025.

Therefore, the Events satisfy the criterion of having dates within the specified range.","The event mentioned on the crawled page is titled ""dsmHack"" and is located in Des Moines, Iowa.

Des Moines is a well-known city in the United States, specifically in the state of Iowa.

The event details explicitly reference Des Moines, which confirms that the event is taking place within the USA.

Therefore, the criterion that the event location is in the USA is satisfied.","The dsmHack event is explicitly described as a 'Charity Hackathon,' which indicates it is a hackathon.

The event involves participants teaming up to create digital solutions for local nonprofits over a 48-hour period, which aligns with typical hackathon activities such as coding, problem-solving, and collaboration.

The focus on community impact and the structured time frame further confirm its classification as a hackathon."
"Tech for Aging Summer Hackathon (TASH) 2025","7-week hackathon from May 12 to June 27, 2025, in Tampa, FL, focusing on AI and robotics for healthy aging solutions.","https://www.usf.edu/engineering/cita/news-events","","",Yes,Yes,Yes,"Tampa, Florida","Hackathon focused on healthy aging and caregiving solutions using technology.","The Tech for Aging Summer Hackathon (TASH) 2025 is scheduled from May 12 to June 27, 2025.

Both of these dates fall within the specified range of May 1, 2025, to August 31, 2025, thus satisfying the criterion.","The Tech for Aging Summer Hackathon (TASH) 2025 is explicitly stated to take place in Tampa, Florida.

Multiple sources confirm that Tampa is a city located in the United States, specifically in the state of Florida.

For instance, Wikipedia states, ""Tampa is a city on the Gulf Coast of the U.S. state of Florida"" and other sources confirm its location as part of the United States.

Therefore, the event location clearly satisfies the criterion of being in the USA.","The Tech for Aging Summer Hackathon (TASH) 2025 is explicitly labeled as a hackathon.

It involves participants teaming up to solve real-world challenges in healthy aging and caregiving.

The structure includes mentorship, collaboration, and a focus on using advanced technologies like AI and robotics.

Additionally, there are competitive elements such as evaluating solutions and awarding prizes, which are characteristic of hackathons.

The event's format promotes innovation and teamwork within a specified timeframe, further confirming its classification as a hackathon."
"HackMiami XII 2025","4-day hackathon from May 13-17, 2025, at Marenas Beach Resort in Sunny Isles Beach, Florida, focused on networking and collaboration.","https://www.eventbrite.com/e/hackmiami-xii-2025-tickets-943158541587","","",Yes,Yes,Yes,"Sunny Isles Beach, Florida","Hackathon","The HackMiami XII 2025 event is scheduled to take place from May 13 to May 17, 2025.

This information is consistently reported across multiple sources, including Eventbrite, HackMiami's official site, and other event listings.

The event duration falls entirely within the specified date range of May 1, 2025, to August 31, 2025.

Therefore, it satisfies the criterion that at least one date of the event falls within this range.","The event HackMiami XII 2025 is being held at the Marenas Beach Resort, located in Sunny Isles Beach, Florida.

Florida is a state within the United States, thus confirming that the event location is indeed in the USA.

The information was verified through the event page and corroborated by multiple sources that specify the resort's location in Florida.","The event 'HackMiami XII 2025' is described as a 'hacking event' that promotes networking, collaboration, and participation in challenges.

It includes workshops and lasts for a significant duration (4 days 9 hours), suggesting a structured environment for coding and project development.

These elements are consistent with typical hackathon characteristics, even though explicit mentions of prizes or competitive elements are not detailed.

Overall, the evidence strongly indicates that this event is indeed a hackathon."
"AWS GenAI Hackathon: Chicago Qualifier - Agentic AI Focus","Compete in Chicago on May 2, 2025, to develop autonomous AI systems; teams can win prizes and qualify for finals.","https://aws-experience.com/amer/smb/e/bde66/aws-genai-hackathon-chicago-qualifier---agentic-ai-focus","","",Yes,Yes,Yes,"Chicago","A competitive hackathon focused on developing innovative Agentic AI solutions, featuring team collaboration, demos, and judging.","The AWS GenAI Hackathon in Chicago is scheduled for Friday, May 2, 2025.

This date falls within the specified range of May 1, 2025, to August 31, 2025.

Therefore, the event meets the criterion.","The event 'AWS GenAI Hackathon: Chicago Qualifier - Agentic AI Focus' takes place in Chicago, which is located in the state of Illinois, USA.

The title explicitly mentions Chicago, confirming that the event is indeed in the USA.

There are no contradictory references indicating otherwise.","The event titled 'AWS GenAI Hackathon: Chicago Qualifier - Agentic AI Focus' clearly satisfies the criterion of being a hackathon.

The description outlines key characteristics of a hackathon, including team formation, a challenge introduction, and a dedicated 'Hackathon Building Session' where participants collaborate to create solutions.

There are also competitive elements such as team demos and judging, which are indicative of hackathons.

The event encourages participants to build autonomous AI systems and offers prizes for teams that advance to the finals, further reinforcing its status as a hackathon."
"ALCF 2025 INCITE GPU Hackathon at Argonne National Laboratory","Join from May 20-22, 2025, to enhance your code performance with expert guidance in a collaborative hackathon environment.","https://www.alcf.anl.gov/events/alcf-2025-incite-gpu-hackathon","","",Yes,Yes,Yes,"Lemont, Illinois","GPU programming hackathon","The ALCF 2025 INCITE GPU Hackathon is scheduled to occur from May 20 to May 22, 2025.

Since these dates fall within the specified range of May 1, 2025, to August 31, 2025, the event meets the criterion.","The ALCF 2025 INCITE GPU Hackathon is explicitly stated to take place at Argonne National Laboratory in Lemont, Illinois, which is located in the United States.

The webpage confirms this with the address including 'US', ensuring clarity about the event's location.","The ALCF 2025 INCITE GPU Hackathon is explicitly named as a hackathon in its title.

It involves collaboration among teams, mentorship from experts, and focuses on coding and performance enhancement.

The structured agenda includes dedicated coding sessions and concludes with team presentations, which are typical features of hackathons.

Therefore, the event clearly meets the criterion of being a hackathon."
"Amazon Nova AI Challenge: Trusted AI","Annual university hackathon with a focus on AI; final round in June 2025, hosted by Amazon in Seattle, WA.","https://www.amazon.science/nova-ai-challenge","","",Yes,Yes,Yes,"Seattle, WA","The Amazon Nova AI Challenge is an annual university hackathon focused on advancing artificial intelligence.

Teams collaborate to develop innovative AI solutions in a competitive tournament format.","The Amazon Nova AI Challenge has its first tournament that began in January 2025, with a final round scheduled to be held live in June 2025.

While the specific date in June is not provided, it is confirmed that the event occurs entirely within the month of June, which falls within the specified date range of May 1, 2025, to August 31, 2025.

Therefore, the event meets the criterion as it includes dates that are within the specified range.","The Amazon Nova AI Challenge is an annual university competition associated with Amazon, which is headquartered in Seattle, WA, USA.

While the specific location of the event is not directly stated, the context strongly implies that it is likely held in the USA, especially considering Amazon's significant presence there and the nature of the competition.

No explicit contradictions were found in the information reviewed.","The Amazon Nova AI Challenge is a competition for university students focused on advancing AI, structured as a coding challenge.

It involves teams working collaboratively on projects, competing in a tournament-style format, and includes significant prizes.

These characteristics align with those of a hackathon, as evidenced by the collaborative nature, competitive elements, and focus on innovation in software development.

Therefore, it satisfies the criterion of being a hackathon."
"Spring 2025 AI Focused Frontier Hackathon at Oak Ridge","Teams collaborate on AI projects at Oak Ridge, TN; scheduled for May 1, 5, and 8, 2025.","https://www.olcf.ornl.gov/calendar/spring-2025-ai-focused-frontier-hackathon","2025-04-28T00:00:00.000Z","Zoom",Yes,Yes,Yes,"Oak Ridge","Hackathon focused on AI and high-performance computing.","The 'Spring 2025 AI Focused Frontier Hackathon' event is scheduled for April 28, May 1, 5, and 8, 2025.

While one date (April 28) is outside the specified range of May 1 to August 31, 2025, the dates May 1, 5, and 8 are within this range.

Therefore, since at least one date of the event falls within the specified range, the event meets the criterion.","The 'Spring 2025 AI Focused Frontier Hackathon' is associated with the Oak Ridge Leadership Computing Facility, which is located in Oak Ridge, Tennessee, USA.

While the webpage does not explicitly state the event's location, the context and affiliation with OLCF strongly imply that the event is indeed in the USA.","The event titled 'Spring 2025 AI Focused Frontier Hackathon' is explicitly referred to as a hackathon in its title and description.

It involves teams of researchers collaborating on projects related to AI and high-performance computing, with a competitive selection process for participation.

The event encourages coding, problem-solving, and experimentation with AI techniques, which are all hallmarks of hackathons.

Therefore, it clearly meets the criterion of being a hackathon."
"ALCF Incite GPU Hackathon, May 2025","Participate in a 3-day hackathon from May 20-22, 2025, at Argonne National Laboratory, focusing on optimizing code for the INCITE call with expert mentorship.","https://www.nersc.gov/users/training/events/2025/alcf-gpu-hackathon-may2025","","",Yes,Yes,Yes,"Lemont, Illinois","Specialized Hackathon for GPU Programming and High-Performance Computing","The ALCF Incite GPU Hackathon is scheduled for May 6-8, 2025, for a virtual introductory meeting and May 20-22, 2025, for the in-person hackathon.

All these dates are within the range of May 1, 2025, to August 31, 2025, satisfying the criterion.","The 2025 ALCF INCITE GPU Hackathon is scheduled to take place at Argonne National Laboratory, which is located in Lemont, Illinois, USA.

This information is explicitly stated in the event details, confirming that the event's location is indeed within the United States.

Therefore, it satisfies the criterion that the event location is in the USA.","The event is explicitly titled 'ALCF INCITE GPU Hackathon', indicating it is a hackathon.

It involves selected teams working collaboratively with expert mentors to prepare and improve their code, which is typical of hackathons.

The event is scheduled over a limited timeframe (May 20-22), further supporting its classification as a hackathon.

Additionally, an application process implies a competitive element, which is common in hackathons."
"DevNetwork [AI + ML] Hackathon 2025","Scheduled for May 12, 2025, at South San Francisco Conference Center; features AI and ML themes with both in-person and online participation.","https://www.eventbrite.com/d/united-states/hackathon","","",Yes,Yes,Yes,"South San Francisco, California","Hackathon focused on AI and ML innovation, scheduled for May 12, 2025, in South San Francisco.","The events listed on the Eventbrite page include:
1. DevNetwork [AI + ML] Hackathon 2025 - May 12, 2025 (within range)
2. HackMiami XII 2025 - May 13, 2025 (within range)

Both events fall within the specified date range of May 1, 2025, to August 31, 2025. There are no events mentioned that fall outside this range, as the earliest event is on February 8, 2025, which is not applicable, and the events listed are all accounted for. Therefore, the Events satisfy the criterion.","The event mentioned in the crawled page is the 'DevNetwork [AI + ML] Hackathon 2025' scheduled for May 12, 2025, at the 'South San Francisco Conference Center & Live Online'.

The explicit mention of 'South San Francisco' indicates that the event takes place in California, which is a state within the United States.

Therefore, this event location satisfies the criterion of being in the USA.

Additionally, there are no indications in the provided context suggesting an international nature that would contradict this location.","The events listed on the Eventbrite page clearly indicate that they are hackathons.

For instance, the 'Intro to Linux Learning Hackathon' and 'Hack the Gap February 2025 Hackathon' both explicitly use the term 'hackathon' in their titles.

The 'Encode Denver Modular DeFi Hackathon' and 'Nuitée x WALT Labs x Google Cloud Hackathon!' also confirm this classification.

Additionally, the '2025 Lobo Hackathon' is mentioned, further supporting that these events are indeed hackathons.

Each of these events typically involves coding, collaboration, and competition, which are hallmark characteristics of hackathons.

Therefore, based on the available information, it is clear that the events satisfy the criterion of being a hackathon."
